column,A1,A2,ans,align
Q1,Los Reyes Seis,Los Reyes Seis,Los Reyes Seis,1
Q2,MCT 4; MCT 6,MCT 4; MCT 6,MCT 4; MCT 6,1
Q3,1088616,1088616,1088616,1
Q4,Russet,Wedge,Russet,2
Q5,15000,10km,10 km,2
Q6,Waterfall Creek,,Waterfall Creek,2
Q7,SEV14,SEV14,SEV14,1
Q8,UT31; UT32,UT31; UT32,UT31; UT32,1
Q9,200,400mE,900 m,3
Q10,South East,South East,South East,1
Q11,MLCC Exploitation MCs,,MLCC Exploitation MCs,2
Q12,Lower Cretaceous,Lower Cretaceous,Lower Cretaceous,1
Q13,,TN165; TN167; TN169; TN170; TN172; TN174,TN165; TN167; TN169; TN170; TN172; TN174,2
Q14,LA PRECIOSA HOLDINGS T218953,HURACAN 4 R1A,Huracan 4 R1A; T.246910,2
Q15,Dos Banderas,Dos Banderas,Dos Banderas,1
Q16,Z19,Z01; Z03; Z04; Z06,Z19,2
Q17,West,North West,North West,2
Q18,North West,North West,North West,1
Q19,4,4,4,1
Q20,UV,4,7km^2,3
Q21,,2.5,6 km,3
Q22,1000,0.5miles,0.5 miles,2
Q23,AMATAVA 41KS,Amatava 41KS,AMATAVA 41KS,1
Q24,Patent,Patent,Patent,1
