column,A1,A2,A3,A4,ans,align
Q1,MC00014559,MC00014559,MC00014559,MC00014559,MC00014559,1
Q2,7.5kilometres,"I am not sure which one is ""the southernmost point of the fault line""",,5km,7.8 km,2
Q3,,I didn't find a way to align the two images,"Image 2 does not really match the image 1, so that I could not select the stratified rock unit",Moira Sound Unit,Moira Sound Unit - Ordovician to Lower Silurian,2
Q4,Teresita T-220210,Abel Fracc. I T220657,El Huevo de Oro,Abel Fracc. I T-220657,Teresita T-220210,2
Q5,867407/2008,2008,867407/2008,867407/2008,867407/2008,1
Q6,East,West,North West,West,North,2
Q7,Ressources Minieres Radisson inc.,"My guess is La Ronde Mine, but I am not sure what is a company.",Mines Agnico-Eagle Limitee,La Ronde Mine (what is a company?),Mines Agnico-Eagle Limitee,2
Q8,South,I didn't find a way to align the two images,,South (?),South West,2
Q9,30,25,31,25,30,1
Q10,La Zaiza,La Zarza,La Zarza,La Zarza,La Zarza,1
Q11,LOS REYES TRES;LOS REYES FRACC NORTE,Los Reyes Tres,Los Reyes Tres; Los Reyes Fracc Norte,Los Reyes,Los Reyes Tres; Los Reyes Fracc Norte,2
Q12,7,,3,4,3,2
Q13,South East,,North,South East,North East,2
Q14,1km,,1km,1km,1 km,1
Q15,12,,12,12,12,1
Q16,0,,0,0,1,2
Q17,Mafic to Intermediate Volcanic;Felsic Volcanic;Sediment,,Crossecho Lake,what is inner hole?,Slough Lake,3
Q18,1082066;1082064,,1082066,"1082066; 1080967; 1079164?",1082066,2
Q19,6,,20,5,6,2
Q20,DISAPPOINTMENT SYNCLINE,,DISAPPOINTMENT SYNCLINE,DISAPPOINTMENT SYNCLINE,Disappointment Syncline,1
Q21,25000,,25000,25000,25000,1
Q22,4,,4,4,4,1
Q23,CEMENTOS VIII,,Comunidade Campesino Cullco Belen,PRINCESA NOR,Cementos Interoceanicos,3
Q24,Gravity Survey - 2007;TEM Survey - 2007,,Gradient Resistivity,NA,Gravity Survey - 2007,2
Q25,,,North,North East,North West,2
Q26,Cronin Capital Claims,,Cronin Capital Claims,Cronin Capital Claim,Cronin Capital Claims,1
Q27,North,,South West,North West,South West,2
Q28,2,,2,6,2,2
Q29,0.7kilometres,,0.5kilometers,0.5km,0.7 km,2
Q30,MLO-10671;MLO-10670,,"Patent, Mining and Surface Rights",MLO-10671; MLO-10670,ML-10670,2
