Form,Relation,Map Count,Question,Form-Q-Num,Answer,Folder,General Folder
Form 2,Border,Multi,1,6,Lower Cretaceous Cu-Fe-Au (IOGG) deposits,C__SEDAR_FILINGS_CDPR_2023_Santander_Pipe_Technical_Report_Santander_Piper_NI43-101,NI43-101
Form 3,Border,Multi,2,26,Denison,C__RedWillow_TechnicalReport,NI43-101
Form 4,Border,Multi,3,11,Los Reyes Tres; Los Reyes Fracc Norte,"C__SEDAR_FILINGS_CENTTechnicalReport, z__PUBLIC_Prime-Mining-Corp_2023_Tech-Report_PRYM-LosReyes-TR-conformed",NI43-101
Form 5,Border,Multi,4,13,M From 85’ to 125’/160’m,UptownDirectorsReport2017,Seattle-Planning
Form 8,Border,Multi,7,2,Sumitomo,g__Sayona_2023_Moblan_20230414_Moblan_Report,NI43-101
Form 7,Border,Multi,8,24,Newmont East (1078227); Newmont East 1 (1078228),C__Users_cxw_Desktop_SEDAR_Temp_Copperhead_IPO_Preliminary_04_TechnicalReport,NI43-101
Form 1,Border,Multi,9,7,SEV14,C__SEDAR_FILINGS_20230711LithiumChileNI43101,NI43-101
Form 2,Border,Multi,10,11,NORONT South Block,C__SEDAR_FILINGS_OSK_TchRpt_WindfallProjectJan2023,NI43-101
Form 6,Border,Multi,11,21,1042713,C__SEDAR_FILINGS_SEDAR_filings_3_1_SKY_TechReport_20221207,NI43-101
Form 2,Border,Multi,12,2,2579161; 2579162; 2579163,z__AgnicoEagle_Techreport_TechReport-221231_TechReport-LaRonde,NI43-101
Form 3,Border,Multi,13,16,Ganfeng Lithium Co.,y__PUBLIC_Lithium-Americas-Corp_2023_technical-reports_Pastos-Grandes-Project_TR-pastos-grandes-update,NI43-101
Form 4,Border,Multi,14,22,4,C__SEDAR_FILINGS_RMCTechnicalReport,NI43-101
Form 7,Border,Single,1,10,Oroville,fema_ehp-hmgp-dr-4407-ca-buttecountywildfiremitigation-dea-20240411,FEMA
Form 3,Border,Single,4,6,Wells property,C__DATA_tmc43101mar21,NI43-101
Form 4,Border,Single,5,30,ML-10670,n__SEDAR_WRLG_NI43-101_Report_Update_v20230619,NI43-101
Form 2,Border,Single,6,29,2.5km,s__SEDAR_Onyx_43101TechnicalReport,NI43-101
Form 3,Border,Single,7,29,Jack’s Crack,s__SEDAR_Onyx_43101TechnicalReport,NI43-101
Form 4,Border,Single,8,1,MC00014559,C___docs_230404catStrategicTR_230404catStrategicTR_cwm,NI43-101
Form 5,Border,Single,13,16,2607225; 2607230; 2607229; 2607226; 2607227; 2607228,C__FILINGS_DarkStar_FinalProspectus_DarkStar_TechnicalReport,NI43-101
Form 2,Border,Single,14,15,B96-1,w__P2Gold_SEDAR_1187436_tech_Feb17_2023_02172023p2gold-tr,NI43-101
Form 5,Border,Single,15,15,Huascar,C__Users_silve_Downloads_Sedar_PEATR,NI43-101
Form 2,Border,Single,16,19,Barrick Gold Inc.,C__SEDAR_FILINGS_LEK_TechReport_2023_v3_5,NI43-101
Form 3,Border,Single,17,27,I-80 Gold,C__SEDAR_FILINGS_North-Peaks_43-101_NPR-NI-43-101-Tech-Report,NI43-101
Form 4,Border,Single,18,10,La Zarza,C__SEDAR_LUG_2023LUGTechnicalReport,NI43-101
Form 1,Border,Single,22,8,UT31; UT32,C__AA-SEDAR_VELVET-PEA-2023,NI43-101
Form 1,Border,Single,23,23,AMATAVA 41KS,C__Data_zbnitrjul17,NI43-101
Form 1,Border,Single,24,22,0.5 miles,C__FILINGS_Tearlach_Tearlach_TechnicalReport,NI43-101
Form 8,Border,Single,25,6,"1,069,245; 1,059,243",C__1SEDARFilings_CascadeTechnicalPriJan24,NI43-101
Form 7,Border,Single,26,21,Bonterra Resources,C__SEDAR_FILINGS_OSK_TchRpt_WindfallProjectJan2023,NI43-101
Form 2,Border,Single,27,3,C-SR-13,C__AA-SEDAR_VELVET-PEA-2023,NI43-101
Form 2,Border,Single,29,14,2145325,g__Sayona_2023_NAL_Refiling_20230420_NAL_Report,NI43-101
Form 3,Border,Single,30,18,10,l__55954_1_TECHRPT_SilverCloud-2023-01-27_BRCTechReport,NI43-101
Form 4,Border,Single,31,7,Mines Agnico-Eagle Limitee,d__SEDAR_Montreal_Radisson_TechReport_0417,NI43-101
Form 5,Border,Single,32,24,C1-75; LR3,OneSeattlePlanDEIS,Seattle-Planning
Form 1,Distance,Multi,1,9,900 m,s__SEDAR_Onyx_43101TechnicalReport,NI43-101
Form 1,Distance,Multi,2,5,10 km,s__SEDAR_Onyx_43101TechnicalReport,NI43-101
Form 6,Distance,Multi,3,7,S15,C__Jul_14_Reunion_TR,NI43-101
Form 7,Distance,Multi,4,13,76 km,y__PUBLIC_Lithium-Americas-Corp_2023_technical-reports_Pastos-Grandes-Project_TR-pastos-grandes-update,NI43-101
Form 8,Distance,Multi,5,20,8.5 km,n__SEDAR_WRLG_NI43-101_Report_Update_v20230619,NI43-101
Form 8,Distance,Multi,6,14,Town of Bowden,k__filings_livework_wkout_71561_E3Lithium_TechReport,NI43-101
Form 2,Distance,Multi,7,12,Sienna Resources Inc,C__SEDAR_1-TR,NI43-101
