question_ref,map_count,spatial_relationship,answer_type,expected_answer
q_0001,Single,Border,textual,"23RD AVE; 24TH AVE; E PIKE ST; E SPRING ST"
q_0002,Single,Border,textual,Rezone Area 6
q_0003,Single,Distance,textual,Central Greenway Phase 3: Alternative 2
q_0004,Single,Orientation,cardinal,South West
q_0005,Single,Border,textual,Lowrise 1; Lowrise 3
q_0006,Single,Border,textual,LR1
q_0007,Single,Within,textual,7
q_0008,Single,Intersect,textual,13TH AVE S; S ALBRO PL
q_0009,Multi,Intersect,textual,Single Family; Major Institution And Public Facilities/Utilities
q_0010,Multi,Distance,textual,Community Center
q_0011,Single,Border,textual,Wholesale Customer; Other
q_0012,Single,Within,textual,Bitter Lake Village
q_0013,Single,Border,textual,Georgetown
q_0014,Single,Intersect,textual,7
q_0015,Single,Border,textual,17
q_0017,Single,Distance,textual,South Park #2
q_0018,Single,Within,textual,1
q_0020,Multi,Within,textual,SoDo Stadium
q_0021,Single,Distance,textual,West Duwamish Greenbelt
q_0022,Single,Intersect,textual,"Maritime, Manufacturing & Logistics"
q_0023,Single,Border,textual,Kirkland
q_0024,Single,Within,textual,7
q_0025,Single,Distance,textual,D
q_0026,Single,Within,textual,Washington Ship Canal
q_0027,Single,Within,textual,5
q_0028,Single,Intersect,textual,5
q_0029,Single,Within,textual,Battalion 7
q_0030,Multi,Distance,textual,R1
q_0031,Single,Within,textual,Robert Eagle Staff; Eckstein
q_0032,Single,Border,textual,6
q_0033,Single,Within,textual,5
q_0070,Single,Intersect,textual,2
q_0072,Multi,Within,textual,1
q_0073,Multi,Orientation,textual,Grand Ball Room
q_0074,Multi,Border,textual,Blackwater [Munster]
q_0075,Single,Border,textual,"IAS, Waste; Animal waste"
q_0076,Single,Orientation,cardinal,North West
q_0077,Multi,Equal,textual,0-2000
q_0078,Single,Distance,textual,Drehid Waste Management Facility
q_0079,Multi,Distance,textual,Dundalk
q_0080,Multi,Intersect,textual,2
q_0081,Single,Intersect,textual,10.49; 7.41
q_0082,Single,Distance,textual,3
q_0083,Single,Within,textual,Vegetation
q_0084,Multi,Equal,textual,1
q_0085,Single,Orientation,cardinal,South West
q_0086,Multi,Border,textual,Svay Donkaev; Extension Dmnak Ampil
q_0087,Multi,Within,textual,12
q_0088,Single,Intersect,textual,3
q_0089,Single,Distance,textual,President Shopping Centre/Hotel
q_0090,Single,Within,textual,Jamae Mosque; Sri Mariamman Temple
q_0091,Multi,Equal,textual,Riparian Woodland
q_0092,Multi,Within,textual,Not Flood Prone
q_0093,Single,Orientation,textual,Main Head
q_0094,Single,Within,textual,3/6
q_0095,Single,Intersect,textual,1.8
q_0096,Multi,Within,textual,Sand bank
q_0097,Single,Orientation,cardinal,South
q_0098,Single,Intersect,textual,Primary School
q_0099,Single,Intersect,textual,CHINA
q_0100,Single,Distance,textual,Bengal Florican
