question_ref,annotator_response,mean,median,std,win_std,expected_value
q_0106,38.0,40.0,40.0,1.632993161855452,0.7113253360690408,40.0
q_0106,40.0,40.0,40.0,1.632993161855452,0.7113253360690408,40.0
q_0106,42.0,40.0,40.0,1.632993161855452,0.7113253360690408,40.0
q_0106,40.0,40.0,40.0,1.632993161855452,0.7113253360690408,40.0
q_0151,18.0,17.75,18.0,2.0615528128088303,0.9276834233907784,18.0
q_0151,15.0,17.75,18.0,2.0615528128088303,0.9276834233907784,18.0
q_0151,20.0,17.75,18.0,2.0615528128088303,0.9276834233907784,18.0
q_0151,18.0,17.75,18.0,2.0615528128088303,0.9276834233907784,18.0
q_0157,1600.0,2200.0,2400.0,400.0,172.5596036644058,2400.0
q_0157,2400.0,2200.0,2400.0,400.0,172.5596036644058,2400.0
q_0157,2400.0,2200.0,2400.0,400.0,172.5596036644058,2400.0
q_0157,2400.0,2200.0,2400.0,400.0,172.5596036644058,2400.0
q_0171,6000.0,7150.0,6800.0,1300.0,555.6250166786582,6600.0
q_0171,9000.0,7150.0,6800.0,1300.0,555.6250166786582,6600.0
q_0171,7000.0,7150.0,6800.0,1300.0,555.6250166786582,6600.0
q_0171,6600.0,7150.0,6800.0,1300.0,555.6250166786582,6600.0
q_0173,0.5,0.53,0.5,0.06,0.026525374559004746,0.62
q_0173,0.5,0.53,0.5,0.06,0.026525374559004746,0.62
q_0173,0.5,0.53,0.5,0.06,0.026525374559004746,0.62
q_0173,0.62,0.53,0.5,0.06,0.026525374559004746,0.62
q_0190,6000.0,6500.0,6000.0,866.0254037844386,404.5091193380288,7500.0
q_0190,6000.0,6500.0,6000.0,866.0254037844386,404.5091193380288,7500.0
q_0190,7500.0,6500.0,6000.0,866.0254037844386,404.5091193380288,7500.0
q_1007,11.0,12.833333333333334,12.5,2.0207259421636903,0.9754193962363622,12.5
q_1007,15.0,12.833333333333334,12.5,2.0207259421636903,0.9754193962363622,12.5
q_1007,12.5,12.833333333333334,12.5,2.0207259421636903,0.9754193962363622,12.5
q_1018,22.0,22.375,22.5,0.25,0.10995380775507432,22.5
q_1018,22.5,22.375,22.5,0.25,0.10995380775507432,22.5
q_1018,22.5,22.375,22.5,0.25,0.10995380775507432,22.5
q_1018,22.5,22.375,22.5,0.25,0.10995380775507432,22.5
q_1026,2400.0,2700.0,2800.0,264.5751311064591,533.7325545765545,2900.0
q_1026,2800.0,2700.0,2800.0,264.5751311064591,533.7325545765545,2900.0
q_1026,300.0,2700.0,2800.0,264.5751311064591,533.7325545765545,2900.0
q_1026,2900.0,2700.0,2800.0,264.5751311064591,533.7325545765545,2900.0
q_1030,2.0,1.975,2.0,0.050000000000000044,0.021360800167217142,1.9
q_1030,2.0,1.975,2.0,0.050000000000000044,0.021360800167217142,1.9
q_1030,2.0,1.975,2.0,0.050000000000000044,0.021360800167217142,1.9
q_1030,1.9,1.975,2.0,0.050000000000000044,0.021360800167217142,1.9
q_1031,60.0,53.75,52.5,4.7871355387816905,2.1604318789083354,55.0
q_1031,50.0,53.75,52.5,4.7871355387816905,2.1604318789083354,55.0
q_1031,50.0,53.75,52.5,4.7871355387816905,2.1604318789083354,55.0
q_1031,55.0,53.75,52.5,4.7871355387816905,2.1604318789083354,55.0
q_1047,15.0,15.25,15.0,0.5,0.22032471599999962,15.0
q_1047,16.0,15.25,15.0,0.5,0.22032471599999962,15.0
q_1047,15.0,15.25,15.0,0.5,0.22032471599999962,15.0
q_1047,15.0,15.25,15.0,0.5,0.22032471599999962,15.0
q_1059,6230.0,6182.5,6365.0,850.4263636553138,383.3233160983879,6500.0
q_1059,5000.0,6182.5,6365.0,850.4263636553138,383.3233160983879,6500.0
q_1059,7000.0,6182.5,6365.0,850.4263636553138,383.3233160983879,6500.0
q_1059,6500.0,6182.5,6365.0,850.4263636553138,383.3233160983879,6500.0
q_1062,120.0,114.0,120.0,12.165525060596439,5.551746441906536,122.0
q_1062,100.0,114.0,120.0,12.165525060596439,5.551746441906536,122.0
q_1062,122.0,114.0,120.0,12.165525060596439,5.551746441906536,122.0
q_1072,575.0,616.6666666666666,600.0,52.04164998665332,24.076190039449852,675.0
q_1072,600.0,616.6666666666666,600.0,52.04164998665332,24.076190039449852,675.0
q_1072,675.0,616.6666666666666,600.0,52.04164998665332,24.076190039449852,675.0
q_1105,400.0,412.5,400.0,25.0,10.92258653646867,450.0
q_1105,400.0,412.5,400.0,25.0,10.92258653646867,450.0
q_1105,400.0,412.5,400.0,25.0,10.92258653646867,450.0
q_1105,450.0,412.5,400.0,25.0,10.92258653646867,450.0
q_1150,46.0,45.333333333333336,46.0,5.033222956847166,2.0418778771673063,40.0
q_1150,50.0,45.333333333333336,46.0,5.033222956847166,2.0418778771673063,40.0
q_1150,50.0,45.333333333333336,46.0,5.033222956847166,2.0418778771673063,40.0
q_1150,40.0,45.333333333333336,46.0,5.033222956847166,2.0418778771673063,40.0
q_1160,2.5,3.125,3.0,0.6291528696058958,0.28338629495296197,3.0
q_1160,4.0,3.125,3.0,0.6291528696058958,0.28338629495296197,3.0
q_1160,3.0,3.125,3.0,0.6291528696058958,0.28338629495296197,3.0
q_1160,3.0,3.125,3.0,0.6291528696058958,0.28338629495296197,3.0
q_2013,0.75,1.75,1.5,1.14564392373896,0.5244830979355007,1.5
q_2013,3.0,1.75,1.5,1.14564392373896,0.5244830979355007,1.5
q_2013,1.5,1.75,1.5,1.14564392373896,0.5244830979355007,1.5
q_2027,4.0,3.4,3.2,0.529150262212918,0.25627985447212326,3.2
q_2027,3.0,3.4,3.2,0.529150262212918,0.25627985447212326,3.2
q_2027,3.2,3.4,3.2,0.529150262212918,0.25627985447212326,3.2
q_2029,4.03,3.6325000000000003,3.75,0.48671518023035476,0.2101495156136761,3.5
q_2029,3.0,3.6325000000000003,3.75,0.48671518023035476,0.2101495156136761,3.5
q_2029,4.0,3.6325000000000003,3.75,0.48671518023035476,0.2101495156136761,3.5
q_2029,3.5,3.6325000000000003,3.75,0.48671518023035476,0.2101495156136761,3.5
q_3023,5.0,4.0,4.0,1.0,0.4630130103078974,3.0
q_3023,4.0,4.0,4.0,1.0,0.4630130103078974,3.0
q_3023,3.0,4.0,4.0,1.0,0.4630130103078974,3.0
q_3028,4.0,3.575,3.65,0.505799696849784,0.21250813444950103,3.3
q_3028,3.0,3.575,3.65,0.505799696849784,0.21250813444950103,3.3
q_3028,4.0,3.575,3.65,0.505799696849784,0.21250813444950103,3.3
q_3028,3.3,3.575,3.65,0.505799696849784,0.21250813444950103,3.3
q_4002,7.5,7.433333333333334,7.5,0.40414518843273795,0.1979139317198597,7.8
q_4002,7.0,7.433333333333334,7.5,0.40414518843273795,0.1979139317198597,7.8
q_4002,7.8,7.433333333333334,7.5,0.40414518843273795,0.1979139317198597,7.8
