question_ref,id,answer,timestamp,user_id,necessary,validity,map_count,question_text,spatial_relationship,noinfo_reason,expected_answer,count
q_0016,32,Lowest; Second Lowest; Middle,2025-08-14 17:42:17.238516+00,1,yes,Can be answered,Multi,Which 'Race and Social Equity Composite Index' categories cover the 'Interbay Dravus' within the Ballard–Interbay MIC of City of Seattle? Exclude the word 'Disadvantage' from each category names.,Within,,Middle; Second Lowest; Lowest,1
q_0016,221,Middle,2025-08-21 20:09:59.633833+00,2,yes,Can be answered,Multi,Which 'Race and Social Equity Composite Index' categories cover the 'Interbay Dravus' within the Ballard–Interbay MIC of the City of Seattle? Exclude the word 'Disadvantage' from each category name.,Within,,Middle; Second Lowest; Lowest,1
q_0016,673,Middle; Lowest,2025-08-25 06:38:13.63338+00,24,yes,Can be answered,Multi,Which 'Race and Social Equity Composite Index' categories cover the 'Interbay Dravus' within the Ballard–Interbay MIC of the City of Seattle? Exclude the word 'Disadvantage' from each category name.,Within,,Middle; Second Lowest; Lowest,1
q_0019,35,3,2025-08-14 17:43:58.823181+00,1,,Can be answered,Single,"Within the southern section of Ballard-Interbay MIC, identify the two concave areas along the boundary. How many 'Hazardous Waste and Toxics Reduction' points are located within these areas?",Within,,3,1
q_0019,269,,2025-08-21 22:06:11.574771+00,2,,Map doesn't contain information to answer the question,Single,"Within the southern section of the Ballard-Interbay MIC, identify the two concave areas along its boundary. How many 'Hazardous Waste and Toxics Reduction' points are located within these areas?",Within,There are more than 2 concave areas,3,1
q_0019,678,8,2025-08-25 06:51:57.408915+00,24,,Map doesn't contain information to answer the question,Single,"Within the southern section of the Ballard-Interbay MIC, identify the two concave areas along its boundary. How many 'Hazardous Waste and Toxics Reduction' points are located within these areas?",Within,Concave is not an ideally accurate expression (in my opinion) because the southeasternmost part is also Concave,3,1
q_0114,600,16,2025-08-24 22:43:47.248985+00,3,yes,Can be answered,Multi,"Identify the area in which the air quality assessment zone 'Sligo' is located. Within this area, how many bathing areas are classified as 'Compliant with EC Guide and Mandatory Values'? Include the ones if they lie on the border.",Within,,2,1
q_0114,646,,2025-08-25 04:57:47.639036+00,4,no,Map doesn't contain information to answer the question,Multi,"Identify the area in which the air quality assessment zone 'Sligo' is located. Within this area, how many bathing areas are classified as 'Compliant with EC Guide and Mandatory Values'? Include the ones if they lie on the border.",Within,"The maps aren't directly the same scale and the red zone a area isn't clearly identifiable on the second map which will make any number, merely a guess.",2,1
q_0114,699,2,2025-08-25 14:42:58.954713+00,11,yes,Can be answered,Multi,"Identify the area in which the air quality assessment zone 'Sligo' is located. Within this area, how many bathing areas are classified as 'Compliant with EC Guide and Mandatory Values'? Include the ones if they lie on the border.",Within,,2,1
q_0139,257,"Maritime, Manufacturing & Logistics",2025-08-21 21:57:00.872231+00,122,yes,Can be answered,Multi,"In the City of Seattle, the Manufacturing Industrial Centers are divided into three categories under 'Alternative 2 – Limited' and four categories under 'Alternative 3 – Targeted.' When comparing the areas across categories, which category shows the largest increase in size?",Equal,,"Maritime, Manufacturing & Logistics",1
q_0139,565,Urban Industrial,2025-08-24 20:53:30.760499+00,6,yes,Can be answered,Multi,"In the City of Seattle, the Manufacturing Industrial Centers are divided into three categories under 'Alternative 2 - Limited' and four categories under 'Alternative 3 - Targeted.' When comparing the areas across categories, which category shows the largest increase in size?",Equal,,"Maritime, Manufacturing & Logistics",1
q_0139,1012,,2025-08-27 06:21:49.969258+00,12,no,Map doesn't contain information to answer the question,Multi,"In the City of Seattle, the Manufacturing Industrial Centers are divided into three categories under 'Alternative 2 - Limited' and four categories under 'Alternative 3 - Targeted.' When comparing the areas across categories, which category shows the largest increase in size?",Equal,Not sure what the question is asking about,"Maritime, Manufacturing & Logistics",1
q_0141,259,100-Year Floodplain; 500-Year Floodplain,2025-08-21 21:57:34.570717+00,122,yes,Can be answered,Multi,"Within North Shore Levee West, which ‘Flood Zones’ are the ‘Mitigation Site’ located in?",Within,,100-Year Floodplain; 500-Year Floodplain,1
q_0141,328,500-Year Floodplain,2025-08-22 04:24:34.630322+00,9,yes,Can be answered,Multi,"Within North Shore Levee West, which 'Flood Zones' are the 'Mitigation Site' located in?",Within,,100-Year Floodplain; 500-Year Floodplain,1
q_0141,1063,500-Year Floodplain,2025-08-28 03:58:18.901465+00,10,yes,Can be answered,Multi,"Within North Shore Levee West, which 'Flood Zones' are the 'Mitigation Site' located in?",Within,,100-Year Floodplain; 500-Year Floodplain,1
q_0149,330,1600 Feat,2025-08-22 04:27:17.789879+00,9,yes,Can be answered,Multi,Identify the 'Closure Structure' on Endresen Rd in Area 1 of North Shore Levee West. What is the approximate distance from this 'Closure Structure' to the 'Queen Ave Pump Station Outfall'?,Distance,,2500 Feet,1
q_0149,485,2400 Feet,2025-08-23 19:32:29.351323+00,122,yes,Can be answered,Multi,Identify the 'Closure Structure' on Endresen Rd in Area 1 of North Shore Levee West. What is the approximate distance from this 'Closure Structure' to the 'Queen Ave Pump Station Outfall'?,Distance,,2500 Feet,1
q_0149,1065,,2025-08-28 04:00:00.832017+00,10,yes,Can be answered,Multi,Identify the 'Closure Structure' on Endresen Rd in Area 1 of North Shore Levee West. What is the approximate distance from this 'Closure Structure' to the 'Queen Ave Pump Station Outfall'?,Distance,,2500 Feet,1
