question_ref,id,answer,timestamp,user_id,necessary,validity,map_count,question_text,spatial_relationship,noinfo_reason,expected_answer,count
q_0003,17,Central Greenway Phase 3: Alternative 1,2025-08-13 18:57:28.734462+00,1,,Can be answered,Single,"In the neighborhood node crossed by S Jackson Street and located near Washington Middle School, there are two Current Transit stops. Which 'Central Greenway Phase 3' is located closer to these two stops?",Distance,,Central Greenway Phase 3: Alternative 2,2
q_0003,51,Central Greenway Phase 3: Alternative 1,2025-08-14 18:12:37.698988+00,2,,Can be answered,Single,"In the neighborhood node crossed by S Jackson Street and located near Washington Middle School, there are two Current Transit stops. Which 'Central Greenway Phase 3' is located closer to these two stops?",Distance,,Central Greenway Phase 3: Alternative 2,2
q_0003,564,2,2025-08-24 20:52:25.94183+00,24,,Can be answered,Single,"In the neighborhood node crossed by S Jackson Street and located near Washington Middle School, there are two Current Transit stops. Which “Central Greenway Phase 3: Alternative” is located closest to these two stops?",Distance,,Central Greenway Phase 3: Alternative 2,2
q_0007,21,7,2025-08-13 18:58:07.893617+00,1,,Can be answered,Single,"Along Pine Street and Pike Street, how many 'Future Redevelopment & Renovation Project' areas overlap with the 'West Focus Area'?",Within,,7,2
q_0007,189,7,2025-08-21 19:27:15.415897+00,2,,Can be answered,Single,"Along Pine Street and Pike Street, how many 'Future Redevelopment & Renovation Project' areas overlap with the 'West Focus Area'?",Within,,7,2
q_0007,579,6,2025-08-24 21:37:41.588173+00,24,,Can be answered,Single,"Along Pine Street and Pike Street, how many 'Future Redevelopment & Renovation Project' areas overlap with the 'West Focus Area'?",Within,,7,2
q_0009,23,Major Institution And Public Facilities/Utilities; Single Family,2025-08-13 18:59:39.760772+00,1,yes,Can be answered,Multi,Identify the 'Level of Service Screenline' labeled as 6.12 in 2004 City of Seattle. Which Existing Land Use categories (in 2016 City of Seattle) does this line intersects with?,Intersect,,Single Family; Major Institution And Public Facilities/Utilities,2
q_0009,191,Single Family,2025-08-21 19:31:59.412194+00,2,yes,Can be answered,Multi,Identify the 'Level of Service Screenline' labeled 6.12 in 2004 City of Seattle. Which Existing Land Use categories (in 2016 City of Seattle) does this line intersect?,Intersect,,Single Family; Major Institution And Public Facilities/Utilities,2
q_0009,615,Single Family; Major Institution And Public Facilities/Utilities,2025-08-25 01:38:16.205815+00,24,yes,Can be answered,Multi,Identify the 'Level of Service Screenline' labeled 6.12 in 2004 City of Seattle. Which Existing Land Use categories (in 2016 City of Seattle) does this line intersect?,Intersect,,Single Family; Major Institution And Public Facilities/Utilities,2
q_0015,31,17,2025-08-14 17:41:28.892209+00,1,,Can be answered,Single,Every 'Duwamish Study Corridor Main' is associated with a unique number. Which 'Duwamish Study Corridor Main' number runs along the eastern boundary of the Duwamish MIC?,Border,,17,2
q_0015,200,17,2025-08-21 19:44:07.456868+00,2,,Can be answered,Single,Every 'Duwamish Study Corridor Main' is associated with a unique number. Which corridor number runs along the eastern boundary of the Duwamish MIC?,Border,,17,2
q_0015,669,4,2025-08-25 06:22:10.37854+00,24,,Can be answered,Single,Every 'Duwamish Study Corridor Main' is associated with a unique number. Which corridor number runs along the eastern boundary of the Duwamish MIC?,Border,,17,2
q_0022,38,"Maritime, Manufacturing & Logistics",2025-08-14 17:45:40.055655+00,1,,Can be answered,Single,"Within the boundaries of the Ballard-Interbay MIC, which 'Alternative 3 - Targeted' category does the 'Bicycle / Pedestrian Multi-Use Trail' cross through?",Intersect,,"Maritime, Manufacturing & Logistics",2
q_0022,272,"Maritime, Manufacturing & Logistics; Urban Industrial",2025-08-21 22:30:41.823909+00,2,,Map doesn't contain information to answer the question,Single,"Within the boundaries of the Ballard-Interbay MIC, which 'Alternative 3 - Targeted' category does the 'Bicycle / Pedestrian Multi-Use Trail' cross?",Intersect,"The question can be answered, but the question is asking for one category and the answer is actually two","Maritime, Manufacturing & Logistics",2
q_0022,681,"Maritime, Manufacturing & Logistics",2025-08-25 07:01:03.756392+00,24,,Can be answered,Single,"Within the boundaries of the Ballard-Interbay MIC, which 'Alternative 3 - Targeted' category does the 'Bicycle / Pedestrian Multi-Use Trail' cross?",Intersect,,"Maritime, Manufacturing & Logistics",2
q_0024,274,8,2025-08-21 22:32:47.161895+00,2,,Can be answered,Single,"In the SoDo Stadium Industrial Lands Subareas, how many 'Terminal & Rail Yard Gate' points are located outside the boundaries of both 'Intermodal Facilities'?",Within,,7,2
q_0024,683,7,2025-08-25 07:03:49.628891+00,24,,Can be answered,Single,"In the SoDo Stadium Industrial Lands Subareas, how many 'Terminal & Rail Yard Gate' points are located outside the boundaries of both 'Intermodal Facilities'?",Within,,7,2
q_0024,41,7,2025-08-14 17:46:43.009314+00,1,,Can be answered,Single,"In the SoDo Stadium Industrial Lands Subareas, how many 'Terminal & Rail Yard Gate' points are located outside the boundaries of both Intermodal Facilities?",Within,,7,2
q_0027,302,4,2025-08-21 23:32:35.032611+00,2,,Can be answered,Single,How many 'Historic- Not Evaluated' Archaeological Resources are located within the 'Georgetown' Industrial Lands Subareas?,Within,,5,2
q_0027,686,5,2025-08-25 07:17:14.348974+00,24,,Can be answered,Single,How many 'Historic- Not Evaluated' Archaeological Resources are located within the 'Georgetown' Industrial Lands Subareas?,Within,,5,2
q_0027,44,5,2025-08-14 17:48:24.110159+00,1,,Can be answered,Single,How many 'Historic- Not Evaluated' Archaeological Resources are located within the Georgetown Industrial Lands Subareas?,Within,,5,2
q_0030,307,,2025-08-21 23:52:56.261285+00,2,no,Map doesn't contain information to answer the question,Multi,Identify the 'Seattle Public Libraries' point located closest to the eastern boundary of the 'SoDO Stadium' Industrials Lands Subarea. In which 'Police Beat' is it located.,Distance,"The question is weird, grammar is wrong and not sure what the question is asking",R1,2
q_0030,689,R1,2025-08-25 07:30:08.823903+00,24,yes,Can be answered,Multi,Identify the 'Seattle Public Libraries' point located closest to the eastern boundary of the 'SoDO Stadium' Industrials Lands Subarea. In which 'Police Beat' is it located.,Distance,,R1,2
q_0030,47,R1,2025-08-14 17:49:50.621061+00,1,yes,Can be answered,Multi,Identify the Seattle Public Libraries located closest to the eastern boundary of the SoDO Stadium Industrials Lands Subarea. Within which Police Beat is it located.,Distance,,R1,2
q_0072,82,1,2025-08-21 06:58:29.083707+00,8,yes,Can be answered,Multi,"Maharashtra State is divided into multiple districts, and each district is further divided into multiple tahsils. Identify the district named 'Thane'. How many 'Drought Affected Tahsil's are located within this district?",Within,,1,2
q_0072,143,1,2025-08-21 18:11:36.799366+00,11,yes,Can be answered,Multi,"Maharashtra State is divided into multiple districts, and each district is further divided into multiple tahsils. Identify the district named 'Thane'. How many 'Drought Affected Tahsil's are located within this district?",Within,,1,2
q_0072,360,,2025-08-22 08:03:23.628717+00,7,,Map doesn't contain information to answer the question,Multi,"Maharashtra State is divided into multiple districts, and each district is further divided into multiple tahsils. Identify the district named 'Thane'. How many 'Drought Affected Tahsil's are located within this district?",Within,No 'Thane' on the map.,1,2
q_0073,144,Grand Ball Room,2025-08-21 18:14:09.063476+00,11,yes,Can be answered,Multi,Locate the 'Rafia Clump' Tree Losses point in the ARIA Seychelles site map. What is the name of the room situated directly to the south of this point?,Orientation,,Grand Ball Room,2
q_0073,311,Grand Ball Room,2025-08-22 01:40:58.37724+00,9,yes,Can be answered,Multi,Locate the 'Rafia Clump' Tree Losses point in the ARIA Seychelles site map. What is the name of the room situated directly to the south of this point?,Orientation,,Grand Ball Room,2
q_0073,1046,P&B Staging,2025-08-28 03:35:14.768523+00,10,,Can be answered,Multi,Locate the 'Rafia Clump' Tree Losses point in the ARIA Seychelles site map. What is the name of the room situated directly to the south of this point?,Orientation,,Grand Ball Room,2
q_0076,83,North East,2025-08-21 06:59:21.128807+00,8,,Can be answered,Single,Identify the 'Ceremonial Route' originating from the 'Capital District' of Abu Dhabi. What is its orientation?,Orientation,,North West,2
q_0076,150,North West,2025-08-21 18:18:56.996268+00,11,,Can be answered,Single,Identify the 'Ceremonial Route' originating from the 'Capital District' of Abu Dhabi. What is its orientation?,Orientation,,North West,2
q_0076,724,North West,2025-08-25 19:49:49.193808+00,7,,Can be answered,Single,Identify the 'Ceremonial Route' originating from the 'Capital District' of Abu Dhabi. What is its orientation?,Orientation,,North West,2
q_0078,157,Drehid Waste Management Facility,2025-08-21 18:26:43.22314+00,11,,Can be answered,Single,"According to Ordnance Survey Ireland, each waste point is associated with a code (e.g., W0165) and the company managing it (e.g., Ballynagran Landfill). What is the name of the company that manages the 'Landfills Accepting Municipal Waste' site located closest to 'Breedon Cement Ireland Limited'?",Distance,,Drehid Waste Management Facility,2
q_0078,431,W0201,2025-08-22 22:31:49.438627+00,4,,Can be answered,Single,"According to Ordnance Survey Ireland, each waste point is associated with a code (e.g., W0165) and the company managing it (e.g., Ballynagran Landfill). What is the name of the company that manages the 'Landfills Accepting Municipal Waste' site located closest to 'Breedon Cement Ireland Limited'?",Distance,,Drehid Waste Management Facility,2
q_0078,590,Drehid Waste Management Facility,2025-08-24 22:26:29.234627+00,3,,Can be answered,Single,"According to Ordnance Survey Ireland, each waste point is associated with a code (e.g., W0165) and the company managing it (e.g., Ballynagran Landfill). What is the name of the company that manages the 'Landfills Accepting Municipal Waste' site located closest to 'Breedon Cement Ireland Limited'?",Distance,,Drehid Waste Management Facility,2
q_0081,162,7.41; 10.49,2025-08-21 18:33:06.431571+00,11,,Can be answered,Single,Identify the two 'Upper Canopy' regions that are intersected by the '25m Setback Line'. What are the percentage values shown in parentheses for each regions?,Intersect,,10.49; 7.41,2
q_0081,313,10.49; 7.41,2025-08-22 01:45:57.96682+00,9,,Can be answered,Single,Identify the two 'Upper Canopy' regions that are intersected by the '25m Setback Line'. What are the percentage values shown in parentheses for each regions?,Intersect,,10.49; 7.41,2
q_0081,1048,Dominated by Badamier and Coconut; Dominated by Calice du pape and Coconut,2025-08-28 03:37:45.52843+00,10,,Can be answered,Single,Identify the two 'Upper Canopy' regions that are intersected by the '25m Setback Line'. What are the percentage values shown in parentheses for each regions?,Intersect,,10.49; 7.41,2
q_0087,178,12,2025-08-21 19:15:46.659205+00,11,yes,Can be answered,Multi,"In the New Construction Plan, each building is labeled with a number, and multiple buildings may share the same number. How many buildings are within the 'Story Hotel Under Construction' area in Phase 2/3 Construction?",Within,,12,2
q_0087,280,12,2025-08-21 22:47:09.932786+00,5,yes,Can be answered,Multi,"In the New Construction Plan, each building is labeled with a number. Even if multiple buildings share the same number, each are considered as different buildings. How many buildings are within the 'Story Hotel Under Construction' area in Phase 2/3 Construction?",Within,,12,2
